id,object,gripper_finger_1_joint,gripper_finger_2_joint,direction,qw,qx,qy,qz,pos-x,pos-y,pos-z,eps_l1,vol_l1,
0,lady_wallet,-0.15,1,SIDE,0.703,-0.07609862,-0.703,-0.07609862,190,-3,30,0.01,0.0005,0
1,lady_wallet,-0.15,1,SIDE,0.703,-0.07609862,-0.703,-0.07609862,190,-3,50,0.01,0.0005,1
2,lady_wallet,-0.15,1,SIDE,0.703,-0.07609862,-0.703,-0.07609862,190,-3,80,0.01,0.0005,2
3,lady_wallet,-0.15,1,SIDE,0.07609862,0.703,0.07609862,-0.703,190,3,30,0.01,0.0005,3
4,lady_wallet,-0.15,1,SIDE,0.07609862,0.703,0.07609862,-0.703,190,3,50,0.01,0.0005,4
5,lady_wallet,-0.15,1,SIDE,0.07609862,0.703,0.07609862,-0.703,190,3,80,0.01,0.0005,5
6,lady_wallet,-0.15,1,SIDE,0.07609862,0.703,-0.07609862,0.703,-190,3,30,0.01,0.0005,6
7,lady_wallet,-0.15,1,SIDE,0.07609862,0.703,-0.07609862,0.703,-190,3,50,0.01,0.0005,7
8,lady_wallet,-0.15,1,SIDE,0.07609862,0.703,-0.07609862,0.703,-190,3,80,0.01,0.0005,8
9,lady_wallet,-0.15,1,SIDE,-0.703,0.07609862,-0.703,-0.07609862,-190,-3,30,0.01,0.0005,9
10,lady_wallet,-0.15,1,SIDE,-0.703,0.07609862,-0.703,-0.07609862,-190,-3,50,0.01,0.0005,10
11,lady_wallet,-0.15,1,SIDE,-0.703,0.07609862,-0.703,-0.07609862,-190,-3,80,0.01,0.0005,11
12,lady_wallet,-0.15,1,SIDE,0,0,0.995,0.09987492,-30,-3,200,0.01,0.0005,12
13,lady_wallet,-0.15,1,SIDE,0,0,0.995,0.09987492,0,-3,200,0.01,0.0005,13
14,lady_wallet,-0.15,1,SIDE,0,0,0.995,0.09987492,30,-3,200,0.01,0.0005,14
15,lady_wallet,-0.15,1,SIDE,0.09987492,0.995,0,0,-30,3,200,0.01,0.0005,15
16,lady_wallet,-0.15,1,SIDE,0.09987492,0.995,0,0,0,3,200,0.01,0.0005,16
17,lady_wallet,-0.15,1,SIDE,0.09987492,0.995,0,0,30,3,200,0.01,0.0005,17
18,lady_wallet,-0.15,1,SIDE,0,0,0.09987492,-0.9945,-30,-3,-100,0.01,0.0005,18
19,lady_wallet,-0.15,1,SIDE,0,0,0.09987492,-0.9945,0,-3,-100,0.01,0.0005,19
20,lady_wallet,-0.15,1,SIDE,0,0,0.09987492,-0.9945,30,-3,-100,0.01,0.0005,20
21,lady_wallet,-0.15,1,SIDE,0.995,-0.09987492,0,0,-30,3,-100,0.01,0.0005,21
22,lady_wallet,-0.15,1,SIDE,0.995,-0.09987492,0,0,0,3,-100,0.01,0.0005,22
23,lady_wallet,-0.15,1,SIDE,0.995,-0.09987492,0,0,30,3,-100,0.01,0.0005,23
