id,object,gripper_finger_1_joint,gripper_finger_2_joint,direction,qw,qx,qy,qz,pos-x,pos-y,pos-z,eps_l1,vol_l1,
0,milk,-0.15,1,SIDE,0.704,-0.066217814,-0.704,-0.066217814,140,-20,60,0.01,0.0005,0
1,milk,-0.15,1,SIDE,0.704,-0.066217814,-0.704,-0.066217814,140,-20,90,0.01,0.0005,1
2,milk,-0.15,1,SIDE,0.704,-0.066217814,-0.704,-0.066217814,140,-20,120,0.01,0.0005,2
3,milk,-0.15,1,SIDE,0.066217814,0.704,0.066217814,-0.704,140,20,60,0.01,0.0005,3
4,milk,-0.15,1,SIDE,0.066217814,0.704,0.066217814,-0.704,140,20,90,0.01,0.0005,4
5,milk,-0.15,1,SIDE,0.066217814,0.704,0.066217814,-0.704,140,20,120,0.01,0.0005,5
6,milk,-0.15,1,SIDE,0.066217814,0.704,-0.066217814,0.704,-140,20,60,0.01,0.0005,6
7,milk,-0.15,1,SIDE,0.066217814,0.704,-0.066217814,0.704,-140,20,90,0.01,0.0005,7
8,milk,-0.15,1,SIDE,0.066217814,0.704,-0.066217814,0.704,-140,20,120,0.01,0.0005,8
9,milk,-0.15,1,SIDE,0.704,-0.066217814,0.704,0.066217814,40,20,60,0.01,0.0005,9
10,milk,-0.15,1,SIDE,0.704,-0.066217814,0.704,0.066217814,-40,20,90,0.01,0.0005,10
11,milk,-0.15,1,SIDE,0.704,-0.066217814,0.704,0.066217814,0,20,120,0.01,0.0005,11
12,milk,-0.15,1,SIDE,0.995,0.099874922,0,0,0,-20,-100,0.01,0.0005,12
13,milk,-0.15,1,SIDE,0,0,-0.099874922,0.995,0,20,-100,0.01,0.0005,13
14,milk,-0.15,1,SIDE,0,0,-0.995,-0.099874922,0,-20,215,290,0.0005,14
15,milk,-0.15,1,SIDE,-0.099874922,-0.995,0,0,0,20,215,290,0.0005,15
