id,object,gripper_finger_1_joint,gripper_finger_2_joint,direction,qw,qx,qy,qz,pos-x,pos-y,pos-z,eps_l1,vol_l1,
0,ratiopharm_cetirzin,0,0.8,SIDE,0.703,-0.07609862,-0.703,-0.07609862,135,-21,60,0.01,0.0005,0
1,ratiopharm_cetirzin,0,0.8,SIDE,0.703,-0.07609862,-0.703,-0.07609862,135,-21,100,0.01,0.0005,1
2,ratiopharm_cetirzin,0,0.8,SIDE,0.07609862,0.703,0.07609862,-0.703,135,21,60,0.01,0.0005,2
3,ratiopharm_cetirzin,0,0.8,SIDE,0.07609862,0.703,0.07609862,-0.703,135,21,100,0.01,0.0005,3
4,ratiopharm_cetirzin,0,0.8,SIDE,0.07609862,0.703,-0.07609862,0.703,-135,21,60,0.01,0.0005,4
5,ratiopharm_cetirzin,0,0.8,SIDE,0.07609862,0.703,-0.07609862,0.703,-135,21,100,0.01,0.0005,5
6,ratiopharm_cetirzin,0,0.8,SIDE,-0.703,0.07609862,-0.703,-0.07609862,-135,-21,60,0.01,0.0005,6
7,ratiopharm_cetirzin,0,0.8,SIDE,-0.703,0.07609862,-0.703,-0.07609862,-135,-21,100,0.01,0.0005,7
8,ratiopharm_cetirzin,0,0.8,SIDE,0.55,0.44440972,0.55,-0.44440972,-21,135,60,0.01,0.0005,8
9,ratiopharm_cetirzin,0,0.8,SIDE,0.55,0.44440972,0.55,-0.44440972,-21,135,100,0.01,0.0005,9
10,ratiopharm_cetirzin,0,0.8,SIDE,0.55,0.44440972,-0.55,0.44440972,21,135,60,0.01,0.0005,10
11,ratiopharm_cetirzin,0,0.8,SIDE,0.55,0.44440972,-0.55,0.44440972,21,135,100,0.01,0.0005,11
12,ratiopharm_cetirzin,0,0.8,SIDE,-0.44440972,0.55,-0.44440972,-0.55,21,-135,60,0.01,0.0005,12
13,ratiopharm_cetirzin,0,0.8,SIDE,-0.44440972,0.55,-0.44440972,-0.55,21,-135,100,0.01,0.0005,13
14,ratiopharm_cetirzin,0,0.8,SIDE,0.44440972,-0.55,-0.44440972,-0.55,-21,-135,60,0.01,0.0005,14
15,ratiopharm_cetirzin,0,0.8,SIDE,0.44440972,-0.55,-0.44440972,-0.55,-21,-135,100,0.01,0.0005,15
16,ratiopharm_cetirzin,0,0.8,SIDE,-0.07609862,-0.703,-0.703,-0.07609862,-21,0,250,0.01,0.0005,16
17,ratiopharm_cetirzin,0,0.8,SIDE,0.07609862,0.703,-0.703,-0.07609862,21,0,250,0.01,0.0005,17
18,ratiopharm_cetirzin,0,0.8,SIDE,0,0,0.995,0.09987492,0,-21,250,0.01,0.0005,18
19,ratiopharm_cetirzin,0,0.8,SIDE,0.09987492,0.995,0,0,0,21,250,0.01,0.0005,19
20,ratiopharm_cetirzin,0,0.8,SIDE,0,0,0.09987492,-0.9945,0,21,-90,0.01,0.0005,20
21,ratiopharm_cetirzin,0,0.8,SIDE,0.995,-0.09987492,0,0,0,-21,-90,0.01,0.0005,21
22,ratiopharm_cetirzin,0,0.8,SIDE,0.703,-0.07609862,-0.07609862,0.703,21,0,-90,0.01,0.0005,22
23,ratiopharm_cetirzin,0,0.8,SIDE,0.703,-0.07609862,0.07609862,-0.703,-21,0,-90,0.01,0.0005,23
