id,object,gripper_finger_1_joint,gripper_finger_2_joint,direction,qw,qx,qy,qz,pos-x,pos-y,pos-z,eps_l1,vol_l1,
0,tissue_soft_star,0.05,0.75,SIDE,1,0,0,0,0,0,-100,0.01,0.0005,0
1,tissue_soft_star,0.05,0.75,SIDE,0,0,0,1,0,0,-100,0.01,0.0005,1
2,tissue_soft_star,0.05,0.75,SIDE,0,0,1,0,0,0,215,0.01,0.0005,2
3,tissue_soft_star,0.05,0.75,SIDE,0,1,0,0,0,0,215,0.01,0.0005,3
4,tissue_soft_star,0.05,0.75,SIDE,1,0,0,0,-40,0,-100,0.01,0.0005,4
5,tissue_soft_star,0.05,0.75,SIDE,0,0,0,1,-40,0,-100,0.01,0.0005,5
6,tissue_soft_star,0.05,0.75,SIDE,0,0,1,0,-40,0,215,0.01,0.0005,6
7,tissue_soft_star,0.05,0.75,SIDE,0,1,0,0,-40,0,215,0.01,0.0005,7
8,tissue_soft_star,0.05,0.75,SIDE,1,0,0,0,40,0,-100,0.01,0.0005,8
9,tissue_soft_star,0.05,0.75,SIDE,0,0,0,1,40,0,-100,0.01,0.0005,9
10,tissue_soft_star,0.05,0.75,SIDE,0,0,1,0,40,0,215,0.01,0.0005,10
11,tissue_soft_star,0.05,0.75,SIDE,0,1,0,0,40,0,215,0.01,0.0005,11
12,tissue_soft_star,0.05,0.75,SIDE,0.707106781,0,-0.707106781,0,215,0,56,0.01,0.0005,12
13,tissue_soft_star,0.05,0.75,SIDE,0,0.707106781,0,-0.707106781,215,0,56,0.01,0.0005,13
14,tissue_soft_star,0.05,0.75,SIDE,0,0.707106781,0,0.707106781,-215,0,56,0.01,0.0005,14
15,tissue_soft_star,0.05,0.75,SIDE,0.707106781,0,0.707106781,0,-215,0,56,0.01,0.0005,15
